sample,time_us,channel1_v
0,0.000000,3.308466308
1,0.320000,3.308466308
2,0.640000,3.308466308
3,0.960000,3.308466308
4,1.280000,3.308466308
5,1.600000,3.308466308
6,1.920000,3.308466308
7,2.240000,3.308466308
8,2.560000,3.304755994
9,2.880000,3.308466308
10,3.200000,3.312176621
11,3.520000,3.304755994
12,3.840000,3.304755994
13,4.160000,3.304755994
14,4.480000,3.308466308
15,4.800000,3.304755994
16,5.120000,3.312176621
17,5.440000,3.312176621
18,5.760000,3.308466308
19,6.080000,3.312176621
20,6.400000,3.308466308
21,6.720000,3.304755994
22,7.040000,3.308466308
23,7.360000,3.304755994
24,7.680000,3.304755994
25,8.000000,3.308466308
26,8.320000,3.312176621
27,8.640000,3.308466308
28,8.960000,3.308466308
29,9.280000,3.304755994
30,9.600000,3.308466308
31,9.920000,3.304755994
32,10.240000,3.312176621
33,10.560000,3.308466308
34,10.880000,3.308466308
35,11.200000,3.308466308
36,11.520000,3.312176621
37,11.840000,3.308466308
38,12.160000,3.304755994
39,12.480000,3.304755994
40,12.800000,3.308466308
41,13.120000,3.308466308
42,13.440000,3.308466308
43,13.760000,3.308466308
44,14.080000,3.304755994
45,14.400000,3.301045681
46,14.720000,3.304755994
47,15.040000,3.304755994
48,15.360000,3.304755994
49,15.680000,3.308466308
50,16.000000,3.308466308
51,16.320000,3.308466308
52,16.640000,3.308466308
53,16.960000,3.304755994
54,17.280000,3.304755994
55,17.600000,3.308466308
56,17.920000,3.308466308
57,18.240000,3.308466308
58,18.560000,3.308466308
59,18.880000,3.308466308
60,19.200000,3.308466308
61,19.520000,3.304755994
62,19.840000,3.308466308
63,20.160000,3.308466308
64,20.480000,3.308466308
65,20.800000,3.312176621
66,21.120000,3.308466308
67,21.440000,3.308466308
68,21.760000,3.304755994
69,22.080000,3.308466308
70,22.400000,3.308466308
71,22.720000,3.308466308
72,23.040000,3.304755994
73,23.360000,3.304755994
74,23.680000,3.308466308
75,24.000000,3.304755994
76,24.320000,3.304755994
77,24.640000,3.304755994
78,24.960000,3.301045681
79,25.280000,3.301045681
80,25.600000,3.301045681
81,25.920000,3.301045681
82,26.240000,3.301045681
83,26.560000,3.304755994
84,26.880000,3.301045681
85,27.200000,3.301045681
86,27.520000,3.301045681
87,27.840000,3.304755994
88,28.160000,3.301045681
89,28.480000,3.301045681
90,28.800000,3.301045681
91,29.120000,3.304755994
92,29.440000,3.304755994
93,29.760000,3.304755994
94,30.080000,3.301045681
95,30.400000,3.304755994
96,30.720000,3.308466308
97,31.040000,3.308466308
98,31.360000,3.304755994
99,31.680000,3.304755994
100,32.000000,3.301045681
101,32.320000,3.301045681
102,32.640000,3.304755994
103,32.960000,3.304755994
104,33.280000,3.308466308
105,33.600000,3.308466308
106,33.920000,3.308466308
107,34.240000,3.312176621
108,34.560000,3.312176621
109,34.880000,3.308466308
110,35.200000,3.308466308
111,35.520000,3.308466308
112,35.840000,3.304755994
113,36.160000,3.301045681
114,36.480000,3.301045681
115,36.800000,3.304755994
116,37.120000,3.301045681
117,37.440000,3.304755994
118,37.760000,3.308466308
119,38.080000,3.308466308
120,38.400000,3.308466308
121,38.720000,3.312176621
122,39.040000,3.304755994
123,39.360000,3.308466308
124,39.680000,3.304755994
125,40.000000,3.308466308
126,40.320000,3.304755994
127,40.640000,3.304755994
